name,year,mean_trash,population,mean_trash_std_ton,mean_trash_std_kg,cumsum,cumsum17
Thüringen,2006,2809012,2322925,1.20925643316078,1209.25643316078,1209.25643316078,17216.1414881266
Thüringen,2007,3315669,2300130,1.44151374052771,1441.51374052771,2650.77017368849,17216.1414881266
Thüringen,2008,3412240,2277996,1.49791307798609,1497.91307798609,4148.68325167458,17216.1414881266
Thüringen,2009,3253966,2257508,1.44139732838156,1441.39732838156,5590.08058005614,17216.1414881266
Thüringen,2010,3443733,2241560,1.53631087278502,1536.31087278502,7126.39145284116,17216.1414881266
Thüringen,2011,3377504,2188474,1.54331465669686,1543.31465669686,8669.70610953802,17216.1414881266
Thüringen,2012,3122253,2176032,1.43483781488508,1434.83781488508,10104.5439244231,17216.1414881266
Thüringen,2013,3170938,2165650,1.46419689238797,1464.19689238797,11568.7408168111,17216.1414881266
Thüringen,2014,3177897,2158800,1.47206642579211,1472.06642579211,13040.8072426032,17216.1414881266
Thüringen,2015,3190295,2163737,1.4744375125073,1474.4375125073,14515.2447551105,17216.1414881266
Thüringen,2016,2948827,2164421,1.36240916161874,1362.40916161874,15877.6539167292,17216.1414881266
Thüringen,2017,2883995,2154667,1.33848757139734,1338.48757139734,17216.1414881266,17216.1414881266
